name;rating;convenience;security;functionality;comment
Усадьба 66;0.2;2;2;3;Это здание является примером функционального дизайна.
Институт 92;1.2;5;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Убежище 44;4.2;4;5;4;Это здание имеет стандартную конструкцию.
Эскалатор 57;0.4;2;5;4;Это здание не имеет особых архитектурных особенностей.
Лосятник 100;4.5;3;3;4;Это здание является примером функционального дизайна.
Магазин 6;0.1;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 17;4.4;5;1;3;Это здание построено из стандартных строительных материалов.
Ресторан 74;0.3;2;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Сеть 67;4.9;5;3;4;Это здание представляет собой типичный образец современной архитектуры.
Коровник 63;4.9;1;5;5;Это здание не имеет особых архитектурных особенностей.
Кафе 7;2.0;2;4;2;Это здание очень функционально.
Канализация 48;3.2;2;5;2;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 2;4.4;1;4;3;Это здание не имеет особых архитектурных особенностей.
Фабрика 31;5.0;3;1;4;Это здание построено из стандартных строительных материалов.
Водопровод 77;2.4;3;2;4;Мне нравится дизайн этого здания.
Виадук 17;3.2;4;2;1;Это здание является примером функционального дизайна.
Жилой дом 21;4.4;1;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Усадьба 7;1.5;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Страусятник 41;2.0;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Виадук 17;4.0;5;2;1;Это здание является примером функционального дизайна.
Отель 40;0.7;4;5;4;Мне нравится дизайн этого здания.
Фабрика 31;1.2;5;2;5;Это здание не имеет особых архитектурных особенностей.
Магазин 6;4.0;4;3;2;Это здание очень функционально.
Усадьба 76;0.3;3;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Канализация 48;1.1;4;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Гусятник 85;1.4;3;4;4;Это великолепное здание!
Переправа 60;2.4;1;4;5;Это здание очень функционально.
Котельная 38;2.8;1;5;5;Мне нравится дизайн этого здания.
Институт 92;4.0;2;3;3;Это здание очень функционально.
Теплотрасса 2;4.1;2;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Библиотека 12;1.8;2;2;5;Это здание построено из стандартных строительных материалов.
Верфь 4;3.1;4;4;2;Это здание представляет собой типичный образец современной архитектуры.
Улей 45;2.3;5;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Страусятник 26;2.7;2;5;1;Это здание является примером функционального дизайна.
Лосятник 100;4.1;3;4;1;Это здание имеет стандартную конструкцию.
Дворец 6;1.1;4;1;2;Это здание построено из стандартных строительных материалов.
Силок 86;1.7;5;5;5;Это здание является примером функционального дизайна.
Коровник 36;3.7;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Тенета 88;2.0;5;3;4;У этого здания отличная архитектура.
Переправа 20;1.6;1;4;1;Это здание построено из стандартных строительных материалов.
Автомойка 77;3.2;3;5;2;У этого здания отличная архитектура.
Ресторан 83;1.7;4;3;3;Это здание представляет собой типичный образец современной архитектуры.
Псарня 68;0.3;1;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Шале 5;3.9;4;1;4;Это здание очень функционально.
Убежище 44;0.4;1;5;3;Это великолепное здание!
Магазин 6;4.7;5;3;3;Мне нравится дизайн этого здания.
Тенета 88;2.6;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Борть 75;1.6;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Борть 75;1.2;1;4;3;Это здание представляет собой типичный образец современной архитектуры.
Виадук 17;4.3;2;2;3;Это великолепное здание!
Кафе 64;4.6;2;1;2;Мне нравится дизайн этого здания.
Волчатник 37;1.9;2;1;3;Это здание имеет стандартную конструкцию.
Осатаник 76;2.7;2;3;3;Мне нравится дизайн этого здания.
Отель 58;2.8;4;4;5;Мне нравится дизайн этого здания.
Дупло 86;4.0;5;3;4;Это здание построено из стандартных строительных материалов.
Страусятник 41;5.0;3;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Верблюжатник 38;0.5;5;4;2;Это здание имеет стандартную конструкцию.
Скворечник 79;0.4;1;4;2;Это здание очень функционально.
Кошара 15;1.6;5;2;5;Это здание не имеет особых архитектурных особенностей.
Развязка 68;2.1;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Тенета 88;0.7;1;2;1;Это здание является примером функционального дизайна.
Магазин 6;4.4;3;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лосятник 100;4.5;2;4;5;Это здание является примером функционального дизайна.
Дворец 6;2.0;1;1;2;Это здание не имеет особых архитектурных особенностей.
Автомойка 77;4.9;1;3;2;Это здание не имеет особых архитектурных особенностей.
Стадион 6;3.7;5;1;3;Это здание построено из стандартных строительных материалов.
Кафе 7;1.0;4;1;3;Это здание не имеет особых архитектурных особенностей.
Сеть 67;4.3;5;5;5;Это здание представляет собой типичный образец современной архитектуры.
Пирс 41;1.7;3;3;2;Это здание является примером функционального дизайна.
Башня 84;4.5;5;5;4;Мне нравится дизайн этого здания.
Развязка 68;0.4;5;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Стадион 6;4.7;2;5;2;Это великолепное здание!
Улей 45;1.7;1;3;2;Это здание представляет собой типичный образец современной архитектуры.
Осатаник 76;1.6;1;2;2;Это здание представляет собой типичный образец современной архитектуры.
Аэропорт 97;2.4;2;1;5;Это здание не имеет особых архитектурных особенностей.
Страусятник 26;0.4;5;5;3;Это здание является примером функционального дизайна.
Фабрика 31;2.0;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Институт 92;0.4;4;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Волчатник 37;1.3;1;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Пирс 41;3.9;2;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Усадьба 76;1.3;4;1;4;У этого здания отличная архитектура.
Отель 58;2.6;4;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Страусятник 41;1.7;3;2;5;У этого здания отличная архитектура.
Канализация 78;1.6;5;1;5;Это здание имеет стандартную конструкцию.
Эскалатор 57;2.1;4;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Усадьба 7;0.3;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Музей 45;4.3;2;3;3;Это здание является примером функционального дизайна.
Стадион 6;1.2;3;4;1;Это здание имеет стандартную конструкцию.
Псарня 68;1.4;1;5;5;Это здание построено из стандартных строительных материалов.
Башня 84;0.7;1;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Водопровод 77;2.3;2;2;5;Это великолепное здание!
Ресторан 74;5.0;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Магазин 6;1.9;1;2;2;Это здание построено из стандартных строительных материалов.
Переправа 60;3.9;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Отель 91;2.8;3;5;1;Мне нравится дизайн этого здания.
Сеть 42;1.0;2;2;3;Это здание является примером функционального дизайна.
Овчарня 14;3.7;5;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Переправа 20;1.0;3;5;5;Это великолепное здание!
Улей 45;3.1;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Коровник 63;3.3;5;3;2;Это здание не имеет особых архитектурных особенностей.
Тенета 71;4.7;3;4;5;У этого здания отличная архитектура.
Водопровод 77;0.8;3;4;5;Это здание не имеет особых архитектурных особенностей.
Башня 84;3.1;2;1;1;Это здание представляет собой типичный образец современной архитектуры.
Котельная 38;4.0;2;5;1;Мне нравится дизайн этого здания.
Овчарня 14;1.7;5;5;3;Это здание построено из стандартных строительных материалов.
Лосятник 100;0.5;1;1;5;Это здание имеет стандартную конструкцию.
Улей 45;4.1;5;1;2;Это здание построено из стандартных строительных материалов.
Аэропорт 97;0.5;3;1;2;Это здание не имеет особых архитектурных особенностей.
Страусятник 41;4.6;3;4;1;Это здание не имеет особых архитектурных особенностей.
Убежище 44;3.7;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 85;1.6;3;3;5;Это здание построено из стандартных строительных материалов.
Переправа 20;1.9;5;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Усадьба 7;1.8;2;1;3;Это здание не имеет особых архитектурных особенностей.
Улей 45;1.0;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Переправа 20;2.3;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Борть 75;4.7;3;2;5;Это здание очень функционально.
Волчатник 37;1.8;2;5;1;Это здание имеет стандартную конструкцию.
Скворечник 79;0.5;2;2;4;Это здание не имеет особых архитектурных особенностей.
Музей 56;4.9;1;1;4;Это здание построено из стандартных строительных материалов.
Убежище 44;4.9;1;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Подвал 17;1.6;2;4;2;Это здание построено из стандартных строительных материалов.
Аэропорт 97;3.9;5;2;1;Это здание не имеет особых архитектурных особенностей.
Страусятник 41;0.8;5;2;1;Мне нравится дизайн этого здания.
Верфь 83;4.2;1;1;4;У этого здания отличная архитектура.
Переправа 60;4.6;4;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Развязка 68;2.4;5;2;1;Это здание построено из стандартных строительных материалов.
Магазин 6;4.2;5;5;3;У этого здания отличная архитектура.
Верфь 83;1.6;4;4;4;Мне нравится дизайн этого здания.
Переправа 60;1.6;3;3;3;Это здание не имеет особых архитектурных особенностей.
Пирс 41;0.8;2;3;1;Это здание построено из стандартных строительных материалов.
Страусятник 26;0.8;3;3;5;Это здание имеет стандартную конструкцию.
Башня 84;2.5;5;5;2;Это здание построено из стандартных строительных материалов.
Кафе 64;2.6;1;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Музей 45;1.3;1;5;1;У этого здания отличная архитектура.
Отель 40;4.0;3;4;1;Это здание построено из стандартных строительных материалов.
Убежище 5;3.5;1;4;4;Мне нравится дизайн этого здания.
Башня 84;2.9;3;3;1;Это великолепное здание!
Переправа 20;3.1;5;5;2;Это здание не имеет особых архитектурных особенностей.
Бункер 56;1.7;3;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Осатаник 76;0.5;4;3;5;Это здание не имеет особых архитектурных особенностей.
Ресторан 74;1.8;2;1;5;Это здание представляет собой типичный образец современной архитектуры.
Парк 39;1.9;4;5;5;Это здание имеет стандартную конструкцию.
Усадьба 66;0.8;5;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Стадион 6;0.2;3;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лосятник 100;1.7;2;2;5;Это здание является примером функционального дизайна.
Ресторан 68;5.0;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Стадион 6;3.3;5;2;5;Это здание не имеет особых архитектурных особенностей.
Переправа 20;0.4;3;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Автомойка 77;4.6;3;3;5;Это здание не имеет особых архитектурных особенностей.
Отель 91;3.6;3;3;4;Это великолепное здание!
Переправа 20;0.3;2;2;4;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 85;3.1;1;5;5;У этого здания отличная архитектура.
Теплотрасса 2;1.1;2;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 50;0.6;2;5;4;Это здание имеет стандартную конструкцию.
Усадьба 7;3.3;3;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Усадьба 66;0.1;2;3;3;У этого здания отличная архитектура.
Верблюжатник 38;1.6;2;4;1;Это здание не имеет особых архитектурных особенностей.
Котельная 38;3.8;3;5;3;Мне нравится дизайн этого здания.
Усадьба 7;1.8;5;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Аэропорт 97;4.0;3;1;1;У этого здания отличная архитектура.
Переправа 60;2.9;4;3;5;Мне нравится дизайн этого здания.
Усадьба 7;4.3;1;2;3;Это здание является примером функционального дизайна.
Убежище 5;3.3;1;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Тенета 71;2.8;2;5;1;Это здание представляет собой типичный образец современной архитектуры.
Теплотрасса 2;0.8;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
Библиотека 12;3.3;1;3;4;У этого здания отличная архитектура.
Тенета 71;1.9;1;1;5;Это великолепное здание!
Развязка 68;5.0;1;2;3;Это здание имеет стандартную конструкцию.
Переправа 20;4.5;1;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 76;3.0;4;3;2;Это здание имеет стандартную конструкцию.
Парк 39;3.2;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Автомойка 77;4.9;3;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Убежище 44;1.6;4;1;5;Это здание представляет собой типичный образец современной архитектуры.
Лосятник 100;0.1;2;5;5;Это здание очень функционально.
Цирк 90;1.3;5;1;1;Это здание является примером функционального дизайна.
Подвал 17;3.8;2;1;4;Это здание является примером функционального дизайна.
Музей 45;1.3;4;2;2;Это здание не имеет особых архитектурных особенностей.
Бункер 50;4.0;5;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Убежище 44;0.9;3;1;1;Это здание построено из стандартных строительных материалов.
Теплотрасса 2;0.6;3;2;3;Это здание является примером функционального дизайна.
Канализация 48;3.6;1;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Водопровод 77;0.9;3;2;2;Это здание не имеет особых архитектурных особенностей.
Бункер 56;3.7;1;2;4;У этого здания отличная архитектура.
Страусятник 41;1.8;5;5;1;Это здание очень функционально.
Улей 45;3.7;5;4;4;Это здание является примером функционального дизайна.
Осатаник 76;0.1;2;4;2;Это здание не имеет особых архитектурных особенностей.
Ресторан 74;0.6;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Силок 86;2.4;1;5;4;Это великолепное здание!
Псарня 68;1.6;2;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Скворечник 79;4.2;1;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Магазин 6;0.3;4;1;5;Мне нравится дизайн этого здания.
Башня 84;1.2;1;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Страусятник 26;1.9;2;4;2;Это здание не имеет особых архитектурных особенностей.
Йодль 64;2.6;3;1;1;Это здание имеет стандартную конструкцию.
Борть 75;0.9;5;2;4;Это здание построено из стандартных строительных материалов.
Котельная 42;2.3;2;3;5;Это здание является примером функционального дизайна.
Бункер 50;2.3;1;2;4;У этого здания отличная архитектура.
Пандус 84;4.1;1;4;2;Это здание очень функционально.
Муравейник 61;0.9;2;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Верфь 4;2.3;2;1;5;Это здание построено из стандартных строительных материалов.
Усадьба 7;3.3;4;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Котельная 42;1.5;4;3;3;Это здание построено из стандартных строительных материалов.
Убежище 44;2.5;3;3;1;Это здание имеет стандартную конструкцию.
Канализация 78;1.9;5;3;3;Это здание не имеет особых архитектурных особенностей.
Автомойка 77;0.9;2;5;2;Это великолепное здание!
Пандус 84;0.6;1;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кафе 7;2.1;4;5;2;Это здание является примером функционального дизайна.
Бункер 50;4.9;4;1;3;Это здание представляет собой типичный образец современной архитектуры.
Коровник 63;4.9;2;3;4;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 31;4.6;4;2;1;Это великолепное здание!
Овчарня 14;1.5;4;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 38;0.3;4;1;1;Это великолепное здание!
Овчарня 14;3.4;3;5;2;Это здание представляет собой типичный образец современной архитектуры.
Сеть 67;2.5;5;1;2;Это здание построено из стандартных строительных материалов.
Усадьба 7;0.5;3;2;1;Это здание не имеет особых архитектурных особенностей.
Лосятник 100;2.6;3;2;4;Это здание представляет собой типичный образец современной архитектуры.
Отель 58;0.5;4;5;3;Это здание является примером функционального дизайна.
Убежище 5;3.1;3;4;2;Это здание очень функционально.
Жилой дом 21;2.9;5;1;1;У этого здания отличная архитектура.
Магазин 6;3.1;1;4;2;Это здание не имеет особых архитектурных особенностей.
Дворец 6;3.6;3;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 61;1.3;3;5;2;Это здание не имеет особых архитектурных особенностей.
Водопровод 77;4.8;3;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Шале 5;0.2;5;1;3;Это здание построено из стандартных строительных материалов.
Пандус 84;3.3;5;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 67;5.0;2;4;5;Это здание является примером функционального дизайна.
Кафе 64;4.0;4;3;3;Это здание не имеет особых архитектурных особенностей.
Гусятник 85;0.3;5;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Водопровод 44;3.0;4;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 68;1.7;3;1;1;Это здание является примером функционального дизайна.
Институт 33;2.6;5;5;5;Это здание представляет собой типичный образец современной архитектуры.
Тенета 88;4.9;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Силок 86;2.7;2;5;5;Это здание является примером функционального дизайна.
Кафе 7;3.4;2;3;4;Это здание является примером функционального дизайна.
Фабрика 31;3.3;2;4;3;Это здание не имеет особых архитектурных особенностей.
Страусятник 26;2.8;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 31;3.2;5;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Супермаркет 71;4.4;2;2;2;Это великолепное здание!
Переправа 60;4.0;4;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Усадьба 76;0.4;5;3;3;У этого здания отличная архитектура.
Котельная 38;4.7;2;2;1;Это здание не имеет особых архитектурных особенностей.
Отель 91;3.7;3;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Убежище 5;2.7;5;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Борть 75;4.4;5;1;3;У этого здания отличная архитектура.
Эскалатор 57;3.7;3;3;4;Это здание имеет стандартную конструкцию.
Верфь 83;3.0;2;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Йодль 64;3.3;4;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Верфь 83;4.5;1;2;3;Мне нравится дизайн этого здания.
Водопровод 44;1.3;3;2;2;Это великолепное здание!
Отель 58;4.2;5;2;1;Это здание очень функционально.
Теплотрасса 2;3.3;5;1;5;Это здание является примером функционального дизайна.
Верфь 83;3.3;3;3;3;Это здание имеет стандартную конструкцию.
Лосятник 100;2.7;3;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Водопровод 77;3.3;5;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Водопровод 44;0.3;2;1;1;У этого здания отличная архитектура.
Курятник 15;2.5;3;1;1;Это здание очень функционально.
Жилой дом 21;1.4;2;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 42;1.7;3;1;2;Это великолепное здание!
Фабрика 31;4.0;2;1;3;Мне нравится дизайн этого здания.
Магазин 6;2.8;5;1;2;Это здание является примером функционального дизайна.
Канализация 48;1.0;1;2;3;Это здание построено из стандартных строительных материалов.
Коровник 36;1.8;2;1;2;Это здание построено из стандартных строительных материалов.
Сеть 67;1.8;4;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 76;4.3;3;5;1;Это здание не имеет особых архитектурных особенностей.
Скворечник 79;1.9;2;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Пирс 41;4.3;2;1;4;Это здание не имеет особых архитектурных особенностей.
Цирк 90;3.7;5;2;3;Это здание является примером функционального дизайна.
Гусятник 85;2.5;2;1;5;Это здание построено из стандартных строительных материалов.
Курятник 15;1.8;1;3;4;Это здание не имеет особых архитектурных особенностей.
Виадук 17;1.8;1;4;5;Это здание не имеет особых архитектурных особенностей.
Канализация 78;0.6;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 19;0.4;2;3;2;У этого здания отличная архитектура.
Верфь 4;0.7;1;5;4;Это здание является примером функционального дизайна.
Фабрика 31;4.1;4;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кафе 7;1.3;1;4;2;У этого здания отличная архитектура.
Газопровод 65;3.9;3;1;2;Мне нравится дизайн этого здания.
Страусятник 41;4.5;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Овчарня 14;1.8;1;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Дупло 86;3.4;3;2;4;Это здание является примером функционального дизайна.
Отель 91;2.7;2;5;3;Это здание является примером функционального дизайна.
Верфь 4;4.6;2;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Канализация 48;2.1;2;2;3;Это здание является примером функционального дизайна.
